datetime,121fad25495a747a_apcd.1020,1255097a8d1069dc_arb3.2015,2275481147c5c093_apcd.1021,27a9a690d3e5fea7_arb3.2067,3f17a85a8e1653c0_arb3.2001,7220aaf21ed7f3e4_apcd.1055,7c5c4524cabdf95d_arb3.2023,a56f36849142ff48_arb3.2019,c8f9f28ffb221422_arb3.2062,c9433af1b72dae1e_apcd.1019,cec6dc2148ab7bb3_arb3.2034,e7e2789cdae091ac_apcd.1029
2022-11-21T17:00:00Z,-5,,,,,,,8.5,0.4,-1,16.9,-2
2022-11-21T18:00:00Z,10,0.7,,,,,,2.3,4.9,12,,5
2022-11-21T19:00:00Z,1,0.2,,-13.1,1.4,,,-0.7,-0.2,20,6.4,3
2022-11-21T20:00:00Z,-0,0.7,,1.7,6.7,,,1.1,7,-4,3.3,-5
2022-11-21T21:00:00Z,1,8.1,,2.4,9.9,,,-1.8,6.7,4,-0.6,1
2022-11-21T22:00:00Z,1,5.7,,8,20.2,,,0.6,7.4,4,-1.4,13
2022-11-21T23:00:00Z,6,4.7,,12.4,14.2,,,1.2,23.7,,2.9,9
2022-11-22T00:00:00Z,-5,2.1,,6.8,26.3,,,4,4.1,,6,18
2022-11-22T01:00:00Z,-5,3.9,,,15.6,,,1.5,19.1,,-1.5,8
2022-11-22T02:00:00Z,6,2.6,,,,,,-2.7,9.7,,1.2,54
2022-11-22T03:00:00Z,3,6.2,,,,,,0.5,8.5,,-0.1,45
2022-11-22T04:00:00Z,5,4.4,,,,,,-2.5,21.1,,8.3,46
2022-11-22T05:00:00Z,6,2.9,,,,,,-1.5,17.9,,2.7,70
2022-11-22T06:00:00Z,5,2.1,,,,,,-3.4,20.2,,0,83
2022-11-22T07:00:00Z,2,9,,,,,,-0.4,29.4,,9.3,50
2022-11-22T08:00:00Z,-5,,,,,,,0.1,36.6,,2.7,72
2022-11-22T09:00:00Z,4,,,,,,,-1.8,26,,5.2,58
2022-11-22T10:00:00Z,1,,,,,,,-2.1,10.6,,0.3,65
2022-11-22T11:00:00Z,-1,,,,,,,-5.4,5.1,,0.6,71
2022-11-22T12:00:00Z,3,,,,,,,-4.4,8.6,,1.9,
2022-11-22T13:00:00Z,7,,,,,,,-5.7,9,,0.7,
2022-11-22T14:00:00Z,5,,,,,,,-0.9,7.4,,3.2,
2022-11-22T15:00:00Z,12,9.7,,,,,,-4.7,7.7,,-2.4,
2022-11-22T16:00:00Z,2,,,,,,,3.3,6.1,,3.9,4
2022-11-22T17:00:00Z,-5,9.3,,,,,,3.1,12.1,,17.5,11
2022-11-22T18:00:00Z,14,4.7,,,,,,0.8,2.6,,5.6,22
2022-11-22T19:00:00Z,-2,8.7,,-12.2,,,,-1.9,2,,3.3,10
2022-11-22T20:00:00Z,-3,3.4,,-2.9,5.3,,,-2.1,0.3,,4,21
2022-11-22T21:00:00Z,2,10.5,,7.8,7.8,,,0.6,8.9,,-1.1,1
2022-11-22T22:00:00Z,6,2,,6.2,0.7,,,-0.8,1.5,,2.3,8
2022-11-22T23:00:00Z,-2,7.5,,10.2,13.3,,,4.6,13.5,,4.9,20
